Name MC MP
Bitcoin 116,439,974,968,416 55.20%
Ethereum 34,966,535,666,753 16.57%
Tether 10,249,493,241,896 4.86%
BN 8,080,983,613,626 3.83%
Solana 6,119,716,173,823 2.90%
USD 3,100,898,333,136 1.47%
XR 2,743,206,112,427 1.30%
Dogecoin 2,180,120,416,707 1.03%
Toncoin 1,844,835,765,766 0.87%
Cardano 1,552,655,782,542 0.74%
Shiba 1,393,959,352,584 0.66%
Avalanche 1,269,449,304,883 0.60%
TRON 997,885,601,634 0.47%
Polkadot 958,760,334,918 0.45%
Bitcoin 859,555,454,983 0.41%
Chainlink 774,470,111,632 0.37%
NEAR 677,515,857,348 0.32%
Polygon 673,687,020,879 0.32%
Internet 575,656,074,923 0.27%
Litecoin 568,612,318,963 0.27%
UNUS 500,644,912,725 0.24%
Da 494,826,420,687 0.23%
Uniswap 419,785,755,169 0.20%
Ethereum 369,217,969,582 0.18%
Apto 363,598,445,657 0.17%
Heder 361,493,735,842 0.17%
First 356,728,228,234 0.17%
Pep 341,849,092,407 0.16%
Crono 330,565,453,819 0.16%
Stack 326,426,677,920 0.15%
Mantl 318,675,093,463 0.15%
Cosmo 316,316,391,548 0.15%
dogwifha 314,205,263,148 0.15%
Rende 313,095,721,613 0.15%
Filecoi 312,603,089,728 0.15%
Stella 300,293,619,688 0.14%
Immutabl 299,388,824,469 0.14%
Optimis 283,990,793,589 0.13%
OK 282,861,038,870 0.13%
Bittenso 279,589,764,281 0.13%
Arbitru 264,403,822,680 0.13%
VeChai 253,791,396,830 0.12%
Make 250,751,084,703 0.12%
The 249,119,609,827 0.12%
Kasp 244,892,181,076 0.12%
Su 238,916,878,817 0.11%
Injectiv 216,059,148,334 0.10%
Moner 213,327,307,988 0.10%
Arweav 209,461,641,550 0.10%
Theta 203,635,819,528 0.10%
Fanto 182,733,241,931 0.09%
FLOK 176,968,248,222 0.08%
Lido 172,702,990,637 0.08%
Fetch.a 171,975,887,462 0.08%
Celesti 171,538,123,230 0.08%
Bon 169,964,048,570 0.08%
Cor 168,733,372,131 0.08%
THORChai 166,256,542,382 0.08%
Bitget 151,465,220,168 0.07%
Se 148,215,399,612 0.07%
Algoran 146,035,465,251 0.07%
Jupite 135,897,875,629 0.06%
Gal 129,193,131,980 0.06%
Flo 127,184,189,365 0.06%
Aav 122,849,316,953 0.06%
Wormhol 122,968,950,631 0.06%
Bitcoin 119,297,218,380 0.06%
Quan 117,170,673,881 0.06%
Bea 115,680,961,827 0.05%
Pendl 113,942,582,169 0.05%
BitTorrent 113,948,650,472 0.05%
Flar 113,101,776,599 0.05%
Ne 111,215,786,214 0.05%
Ethen 111,678,983,857 0.05%
SingularityNE 106,955,324,271 0.05%
Ond 106,271,657,166 0.05%
Multivers 103,599,110,325 0.05%
Axie 99,954,895,475 0.05%
Chili 99,197,262,294 0.05%
Worldcoi 96,472,198,342 0.05%
Akash 94,490,277,474 0.04%
The 94,695,447,366 0.04%
dYdX 94,116,163,008 0.04%
eCas 93,492,317,729 0.04%
Starkne 92,220,959,412 0.04%
KuCoin 91,586,516,516 0.04%
Tezo 88,756,709,763 0.04%
Syntheti 87,161,562,710 0.04%
JasmyCoi 86,270,393,976 0.04%
EO 86,192,711,885 0.04%
Min 86,300,483,732 0.04%
Conflu 83,527,963,625 0.04%
Roni 82,399,796,305 0.04%
Heliu 81,351,273,666 0.04%
Decentralan 79,748,489,688 0.04%
Nervos 79,518,648,695 0.04%
ORD 79,172,483,828 0.04%
Axela 76,390,095,932 0.04%
Pyth 75,839,877,680 0.04%
Gnosi 74,947,068,516 0.04%
