Name MC MP
Bitcoin 116,633,633,149,182 55.22%
Ethereum 35,013,553,842,024 16.58%
Tether 10,249,376,680,253 4.85%
BN 8,085,781,863,708 3.83%
Solana 6,118,762,130,549 2.90%
USD 3,100,806,548,906 1.47%
XR 2,746,591,626,596 1.30%
Dogecoin 2,185,480,006,691 1.03%
Toncoin 1,844,332,710,838 0.87%
Cardano 1,552,765,542,215 0.74%
Shiba 1,396,840,124,581 0.66%
Avalanche 1,268,430,827,955 0.60%
TRON 997,874,298,097 0.47%
Polkadot 958,576,974,474 0.45%
Bitcoin 859,709,411,338 0.41%
Chainlink 774,877,356,196 0.37%
NEAR 677,774,884,262 0.32%
Polygon 673,709,915,821 0.32%
Internet 575,550,137,759 0.27%
Litecoin 568,809,071,254 0.27%
UNUS 500,607,976,159 0.24%
Da 494,841,027,261 0.23%
Uniswap 419,820,337,571 0.20%
Ethereum 369,319,083,344 0.17%
Apto 363,001,030,743 0.17%
Heder 361,410,169,201 0.17%
First 357,157,740,711 0.17%
Pep 342,465,864,172 0.16%
Crono 330,867,921,084 0.16%
Stack 326,715,840,448 0.15%
Mantl 317,850,449,841 0.15%
Cosmo 315,964,684,690 0.15%
dogwifha 314,337,378,491 0.15%
Rende 313,195,033,823 0.15%
Filecoi 312,719,476,495 0.15%
Stella 300,534,781,022 0.14%
Immutabl 299,134,162,003 0.14%
Optimis 284,465,882,570 0.13%
OK 282,863,928,347 0.13%
Bittenso 279,358,965,560 0.13%
Arbitru 264,538,636,092 0.13%
VeChai 254,107,909,175 0.12%
Make 251,028,689,853 0.12%
The 249,003,012,120 0.12%
Kasp 244,635,148,158 0.12%
Su 238,906,359,958 0.11%
Injectiv 216,126,900,989 0.10%
Moner 213,902,041,778 0.10%
Arweav 209,565,309,073 0.10%
Theta 203,710,144,774 0.10%
Fanto 182,765,045,670 0.09%
FLOK 177,110,604,487 0.08%
Lido 172,777,850,859 0.08%
Fetch.a 171,988,393,713 0.08%
Celesti 171,381,254,433 0.08%
Bon 170,286,452,370 0.08%
Cor 169,025,564,414 0.08%
THORChai 166,313,552,245 0.08%
Bitget 151,174,977,723 0.07%
Se 148,218,191,229 0.07%
Algoran 146,028,425,383 0.07%
Jupite 135,829,675,040 0.06%
Gal 129,069,689,414 0.06%
Flo 127,232,588,990 0.06%
Aav 122,798,931,493 0.06%
Wormhol 123,048,477,428 0.06%
Bitcoin 119,346,263,962 0.06%
Quan 117,209,206,422 0.06%
Bea 115,734,159,319 0.05%
Pendl 114,022,233,819 0.05%
BitTorrent 114,208,174,397 0.05%
Flar 113,027,392,040 0.05%
Ethen 111,815,877,557 0.05%
Ne 111,051,166,286 0.05%
SingularityNE 106,908,086,176 0.05%
Ond 106,261,437,665 0.05%
Multivers 103,587,656,478 0.05%
Axie 99,999,333,286 0.05%
Chili 99,249,938,829 0.05%
Worldcoi 96,542,261,877 0.05%
Akash 94,633,414,678 0.04%
The 94,672,857,416 0.04%
dYdX 94,111,710,516 0.04%
eCas 93,595,850,081 0.04%
Starkne 92,270,403,573 0.04%
KuCoin 91,573,933,282 0.04%
Tezo 88,764,727,536 0.04%
Syntheti 87,169,208,338 0.04%
JasmyCoi 86,197,012,981 0.04%
Min 86,332,845,486 0.04%
EO 86,216,188,151 0.04%
Conflu 83,605,116,603 0.04%
Roni 82,400,864,039 0.04%
Heliu 81,419,967,601 0.04%
Decentralan 79,752,431,227 0.04%
Nervos 79,602,884,732 0.04%
ORD 79,230,177,281 0.04%
Axela 76,405,220,866 0.04%
Pyth 75,837,789,097 0.04%
Gnosi 74,990,131,186 0.04%
