Name MC MP
Bitcoin 115,142,547,138,322 55.31%
Ethereum 34,497,116,272,663 16.57%
Tether 10,159,294,627,898 4.88%
BN 7,929,764,029,261 3.81%
Solana 6,005,473,817,746 2.89%
USD 3,074,947,191,076 1.48%
XR 2,679,016,704,540 1.29%
Dogecoin 2,126,167,639,143 1.02%
Toncoin 1,833,157,366,585 0.88%
Cardano 1,496,729,254,973 0.72%
Shiba 1,336,806,608,798 0.64%
Avalanche 1,287,010,128,075 0.62%
TRON 972,237,480,476 0.47%
Polkadot 931,409,698,935 0.45%
Bitcoin 840,062,845,501 0.40%
Chainlink 768,572,642,938 0.37%
NEAR 690,512,522,754 0.33%
Polygon 664,565,869,861 0.32%
Litecoin 553,747,292,521 0.27%
Internet 548,805,735,494 0.26%
UNUS 489,749,907,420 0.24%
Da 489,941,406,660 0.24%
Uniswap 408,035,964,897 0.20%
Ethereum 362,595,147,449 0.17%
Heder 358,033,809,584 0.17%
Apto 355,664,017,206 0.17%
First 353,107,862,124 0.17%
Rende 330,348,581,440 0.16%
Pep 326,858,209,640 0.16%
Crono 322,624,966,691 0.15%
Cosmo 317,022,466,353 0.15%
Mantl 312,292,010,128 0.15%
Stack 309,971,565,490 0.15%
dogwifha 304,022,295,980 0.15%
Filecoi 301,873,801,015 0.15%
Immutabl 296,650,363,429 0.14%
Stella 292,342,958,459 0.14%
OK 281,313,759,196 0.14%
Optimis 276,538,209,313 0.13%
Bittenso 269,196,347,053 0.13%
Arbitru 256,162,810,264 0.12%
Make 247,507,022,950 0.12%
VeChai 246,778,356,619 0.12%
The 241,976,826,321 0.12%
Kasp 232,010,497,089 0.11%
Su 231,174,102,586 0.11%
Arweav 222,508,596,107 0.11%
Moner 214,921,617,975 0.10%
Injectiv 206,298,823,556 0.10%
Theta 199,693,722,749 0.10%
Fanto 177,300,785,836 0.09%
Celesti 175,874,515,727 0.08%
Fetch.a 172,233,285,044 0.08%
FLOK 167,042,192,940 0.08%
Lido 166,451,846,641 0.08%
THORChai 161,649,405,991 0.08%
Cor 160,177,399,612 0.08%
Bon 157,155,047,992 0.08%
Bitget 147,377,440,434 0.07%
Algoran 146,446,572,623 0.07%
Se 143,535,420,840 0.07%
Jupite 130,843,928,075 0.06%
Flo 125,316,300,334 0.06%
Gal 124,365,436,004 0.06%
Aav 120,508,267,809 0.06%
Bitcoin 116,699,311,052 0.06%
Pendl 114,786,126,603 0.06%
Bea 112,816,096,442 0.05%
Quan 111,585,162,396 0.05%
Wormhol 110,977,946,155 0.05%
BitTorrent 110,908,789,944 0.05%
Flar 108,691,702,629 0.05%
SingularityNE 108,639,594,660 0.05%
Ne 108,067,684,794 0.05%
Ethen 105,202,260,228 0.05%
Ond 103,392,712,948 0.05%
Akash 102,989,559,146 0.05%
Multivers 100,946,350,818 0.05%
Worldcoi 100,163,560,527 0.05%
Axie 97,791,060,451 0.05%
Chili 96,549,235,630 0.05%
dYdX 92,602,880,013 0.04%
The 92,240,713,641 0.04%
KuCoin 90,158,654,036 0.04%
eCas 89,949,798,736 0.04%
Starkne 88,918,820,817 0.04%
JasmyCoi 87,785,423,660 0.04%
Tezo 86,286,150,711 0.04%
Min 84,584,046,027 0.04%
Syntheti 84,566,662,261 0.04%
EO 84,001,345,271 0.04%
Heliu 82,800,741,093 0.04%
Roni 80,672,458,607 0.04%
Conflu 79,311,284,600 0.04%
Decentralan 77,877,563,155 0.04%
ORD 77,031,217,001 0.04%
Nervos 76,871,455,337 0.04%
Gnosi 74,698,803,676 0.04%
Axela 73,791,021,506 0.04%
Pyth 72,189,327,967 0.03%
